trip_id,origin,destination,route,distance_km,popularity_tier,bus_type,capacity,base_price_inr,departure_date,departure_weekday,booking_open_date,booking_window_days,is_holiday_period,weekday_multiplier,price_ratio,final_seats_booked,final_occupancy_pct
35,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,AC Sleeper,28,1360.0,2026-02-11,Wednesday,2026-01-08,34,False,0.82,1.037,15,53.57
36,Mumbai,Goa,Mumbai -> Goa,590,2,AC Sleeper,30,1190.0,2025-09-29,Monday,2025-08-31,29,False,0.85,0.877,24,80.0
37,Pune,Nashik,Pune -> Nashik,210,3,AC Seater,43,320.0,2025-09-18,Thursday,2025-08-30,19,False,0.95,0.896,22,51.16
38,Hyderabad,Bangalore,Hyderabad -> Bangalore,570,2,AC Sleeper,29,1460.0,2026-06-26,Friday,2026-05-25,32,False,1.15,1.114,21,72.41
39,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,AC Seater,43,750.0,2026-02-13,Friday,2026-01-26,18,False,1.15,0.882,26,60.47
40,Kolkata,Digha,Kolkata -> Digha,185,3,Non-AC Sleeper,33,280.0,2025-08-22,Friday,2025-08-06,16,False,1.15,1.044,14,42.42
41,Bangalore,Chennai,Bangalore -> Chennai,350,1,Non-AC Sleeper,34,550.0,2026-01-11,Sunday,2025-12-23,19,False,1.1,1.084,26,76.47
42,Hyderabad,Bangalore,Hyderabad -> Bangalore,570,2,Non-AC Sleeper,33,790.0,2026-06-14,Sunday,2026-05-21,24,False,1.1,0.956,30,90.91
43,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,Non-AC Sleeper,35,360.0,2025-12-25,Thursday,2025-11-30,25,True,0.95,0.903,31,88.57
44,Ahmedabad,Mumbai,Ahmedabad -> Mumbai,525,2,Non-AC Seater,56,490.0,2025-11-09,Sunday,2025-10-09,31,False,1.1,0.889,38,67.86
45,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,Non-AC Seater,53,560.0,2026-03-12,Thursday,2026-02-19,21,False,0.95,0.936,36,67.92
46,Delhi,Chandigarh,Delhi -> Chandigarh,250,2,AC Sleeper,33,620.0,2025-11-15,Saturday,2025-10-29,17,False,1.25,1.078,25,75.76
47,Delhi,Jaipur,Delhi -> Jaipur,280,1,Volvo AC Semi-Sleeper,42,510.0,2025-10-16,Thursday,2025-09-28,18,False,0.95,0.889,32,76.19
48,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,Non-AC Sleeper,32,430.0,2026-01-01,Thursday,2025-11-23,39,True,0.95,1.078,30,93.75
49,Kochi,Bangalore,Kochi -> Bangalore,550,3,AC Seater,41,890.0,2026-06-14,Sunday,2026-05-12,33,False,1.1,0.952,20,48.78
50,Chennai,Madurai,Chennai -> Madurai,460,2,Volvo AC Semi-Sleeper,39,1040.0,2025-09-30,Tuesday,2025-09-11,19,True,0.8,1.103,24,61.54
51,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,Non-AC Seater,50,330.0,2025-12-23,Tuesday,2025-12-05,18,True,0.8,1.143,23,46.0
52,Surat,Mumbai,Surat -> Mumbai,285,2,Non-AC Seater,54,330.0,2025-10-14,Tuesday,2025-09-02,42,False,0.8,1.103,23,42.59
53,Mumbai,Goa,Mumbai -> Goa,590,2,Non-AC Sleeper,33,900.0,2025-11-14,Friday,2025-10-21,24,False,1.15,1.052,15,45.45
54,Delhi,Chandigarh,Delhi -> Chandigarh,250,2,Non-AC Sleeper,32,330.0,2026-04-03,Friday,2026-02-25,37,False,1.15,0.91,24,75.0
55,Bangalore,Goa,Bangalore -> Goa,560,3,AC Seater,40,890.0,2026-06-08,Monday,2026-05-24,15,False,0.85,0.935,17,42.5
56,Mumbai,Shirdi,Mumbai -> Shirdi,250,2,Non-AC Seater,55,240.0,2026-04-06,Monday,2026-03-18,19,False,0.85,0.914,24,43.64
57,Bangalore,Goa,Bangalore -> Goa,560,3,Non-AC Sleeper,35,760.0,2026-05-19,Tuesday,2026-04-27,22,False,0.8,0.936,14,40.0
58,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,Volvo AC Semi-Sleeper,41,1300.0,2026-01-14,Wednesday,2025-12-15,30,True,0.82,1.113,23,56.1
59,Bangalore,Mysore,Bangalore -> Mysore,145,1,Non-AC Seater,56,140.0,2025-08-05,Tuesday,2025-07-14,22,False,0.8,0.92,25,44.64
60,Mumbai,Shirdi,Mumbai -> Shirdi,250,2,Non-AC Seater,54,230.0,2025-11-07,Friday,2025-10-08,30,False,1.15,0.876,49,90.74
61,Kolkata,Digha,Kolkata -> Digha,185,3,AC Sleeper,33,390.0,2026-02-10,Tuesday,2025-12-31,41,False,0.8,0.917,14,42.42
62,Ahmedabad,Mumbai,Ahmedabad -> Mumbai,525,2,Non-AC Seater,54,590.0,2026-05-03,Sunday,2026-04-15,18,False,1.1,1.07,33,61.11
63,Bangalore,Mysore,Bangalore -> Mysore,145,1,Non-AC Seater,53,150.0,2026-06-05,Friday,2026-04-21,45,False,1.15,0.985,52,98.11
64,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,Non-AC Seater,52,630.0,2025-11-13,Thursday,2025-09-30,44,False,0.95,1.053,32,61.54
65,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,AC Seater,45,420.0,2026-06-04,Thursday,2026-05-02,33,False,0.95,0.898,28,62.22
66,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,Non-AC Seater,53,260.0,2026-03-29,Sunday,2026-03-11,18,False,1.1,0.9,35,66.04
67,Delhi,Dehradun,Delhi -> Dehradun,250,2,Non-AC Sleeper,30,370.0,2026-06-18,Thursday,2026-05-30,19,False,0.95,1.021,14,46.67
68,Kolkata,Digha,Kolkata -> Digha,185,3,AC Sleeper,33,420.0,2026-02-28,Saturday,2026-01-20,39,False,1.25,0.987,26,78.79
69,Ahmedabad,Surat,Ahmedabad -> Surat,265,1,Non-AC Seater,53,300.0,2025-09-06,Saturday,2025-08-15,22,False,1.25,1.078,49,92.45
70,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,Non-AC Sleeper,31,580.0,2026-04-12,Sunday,2026-03-10,33,True,1.1,1.0,23,74.19
71,Kolkata,Digha,Kolkata -> Digha,185,3,Volvo AC Semi-Sleeper,41,370.0,2026-02-17,Tuesday,2026-01-31,17,False,0.8,0.976,15,36.59
72,Bangalore,Goa,Bangalore -> Goa,560,3,Volvo AC Semi-Sleeper,40,1190.0,2026-06-17,Wednesday,2026-05-07,41,False,0.82,1.037,16,40.0
73,Bangalore,Chennai,Bangalore -> Chennai,350,1,Non-AC Sleeper,33,480.0,2025-10-22,Wednesday,2025-09-07,45,True,0.82,0.946,28,84.85
74,Delhi,Dehradun,Delhi -> Dehradun,250,2,Volvo AC Semi-Sleeper,42,460.0,2026-05-21,Thursday,2026-05-05,16,False,0.95,0.898,23,54.76
75,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,Non-AC Sleeper,32,770.0,2025-09-18,Thursday,2025-08-25,24,False,0.95,1.062,20,62.5
76,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,Volvo AC Semi-Sleeper,38,1290.0,2026-02-16,Monday,2026-01-28,19,False,0.85,1.104,22,57.89
77,Mumbai,Shirdi,Mumbai -> Shirdi,250,2,AC Seater,43,390.0,2025-09-21,Sunday,2025-08-21,31,False,1.1,0.918,35,81.4
78,Mumbai,Pune,Mumbai -> Pune,150,1,AC Sleeper,28,320.0,2026-05-04,Monday,2026-04-19,15,False,0.85,0.928,20,71.43
79,Bangalore,Mysore,Bangalore -> Mysore,145,1,Non-AC Sleeper,33,210.0,2026-03-15,Sunday,2026-02-03,40,False,1.1,0.999,31,93.94
80,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,Volvo AC Semi-Sleeper,40,1280.0,2026-04-21,Tuesday,2026-03-11,41,False,0.8,1.095,22,55.0
81,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,Non-AC Seater,52,270.0,2025-09-30,Tuesday,2025-09-09,21,True,0.8,0.935,44,84.62
82,Bangalore,Chennai,Bangalore -> Chennai,350,1,AC Sleeper,31,790.0,2025-11-02,Sunday,2025-10-18,15,True,1.1,0.981,21,67.74
83,Mumbai,Pune,Mumbai -> Pune,150,1,AC Seater,45,230.0,2026-01-22,Thursday,2026-01-06,16,False,0.95,0.902,34,75.56
84,Ahmedabad,Mumbai,Ahmedabad -> Mumbai,525,2,Non-AC Seater,48,620.0,2026-03-18,Wednesday,2026-03-01,17,False,0.82,1.125,29,60.42
85,Ahmedabad,Mumbai,Ahmedabad -> Mumbai,525,2,Volvo AC Semi-Sleeper,42,1200.0,2026-05-28,Thursday,2026-05-04,24,False,0.95,1.115,28,66.67
86,Ahmedabad,Mumbai,Ahmedabad -> Mumbai,525,2,Non-AC Sleeper,35,780.0,2026-02-22,Sunday,2026-01-15,38,False,1.1,1.025,23,65.71
87,Delhi,Dehradun,Delhi -> Dehradun,250,2,Non-AC Seater,55,260.0,2026-01-26,Monday,2025-12-13,44,True,0.85,0.99,48,87.27
88,Ahmedabad,Surat,Ahmedabad -> Surat,265,1,Volvo AC Semi-Sleeper,40,530.0,2026-03-17,Tuesday,2026-02-11,34,False,0.8,0.976,22,55.0
89,Bangalore,Chennai,Bangalore -> Chennai,350,1,AC Seater,40,590.0,2025-09-16,Tuesday,2025-08-28,19,False,0.8,0.992,23,57.5
90,Bangalore,Mysore,Bangalore -> Mysore,145,1,AC Sleeper,29,320.0,2026-01-16,Friday,2025-12-22,25,True,1.15,0.96,29,100.0
91,Delhi,Dehradun,Delhi -> Dehradun,250,2,AC Seater,42,440.0,2025-12-05,Friday,2025-11-14,21,False,1.15,1.035,35,83.33
92,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,AC Sleeper,34,1450.0,2026-05-12,Tuesday,2026-04-13,29,False,0.8,1.106,17,50.0
93,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,AC Seater,42,740.0,2026-01-26,Monday,2025-12-28,29,True,0.85,1.088,20,47.62
94,Delhi,Chandigarh,Delhi -> Chandigarh,250,2,AC Seater,44,430.0,2026-04-13,Monday,2026-03-10,34,True,0.85,1.012,30,68.18
95,Mumbai,Nashik,Mumbai -> Nashik,170,2,AC Seater,41,270.0,2026-04-02,Thursday,2026-02-28,33,False,0.95,0.934,29,70.73
96,Delhi,Agra,Delhi -> Agra,230,2,Non-AC Sleeper,36,310.0,2026-06-14,Sunday,2026-05-12,33,False,1.1,0.93,27,75.0
97,Delhi,Jaipur,Delhi -> Jaipur,280,1,Non-AC Seater,53,260.0,2026-03-30,Monday,2026-02-28,30,False,0.85,0.884,46,86.79
98,Kolkata,Digha,Kolkata -> Digha,185,3,AC Sleeper,28,480.0,2025-09-26,Friday,2025-08-18,39,False,1.15,1.128,14,50.0
99,Bangalore,Mysore,Bangalore -> Mysore,145,1,Non-AC Sleeper,33,220.0,2026-04-18,Saturday,2026-03-06,43,False,1.25,1.046,32,96.97
100,Kolkata,Digha,Kolkata -> Digha,185,3,Non-AC Seater,50,200.0,2025-08-17,Sunday,2025-07-31,17,True,1.1,1.03,27,54.0
101,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,AC Sleeper,29,640.0,2025-09-27,Saturday,2025-09-13,14,False,1.25,1.012,15,51.72
102,Hyderabad,Bangalore,Hyderabad -> Bangalore,570,2,Non-AC Sleeper,33,830.0,2026-03-31,Tuesday,2026-02-21,38,False,0.8,1.004,17,51.52
103,Kolkata,Digha,Kolkata -> Digha,185,3,AC Sleeper,31,440.0,2026-01-11,Sunday,2025-12-24,18,False,1.1,1.034,20,64.52
104,Kolkata,Digha,Kolkata -> Digha,185,3,Volvo AC Semi-Sleeper,38,340.0,2026-03-29,Sunday,2026-03-13,16,False,1.1,0.897,21,55.26
105,Chennai,Madurai,Chennai -> Madurai,460,2,AC Sleeper,33,1130.0,2025-12-18,Thursday,2025-11-28,20,False,0.95,1.068,21,63.64
106,Delhi,Chandigarh,Delhi -> Chandigarh,250,2,AC Sleeper,30,630.0,2026-04-30,Thursday,2026-03-23,38,False,0.95,1.096,18,60.0
107,Delhi,Jaipur,Delhi -> Jaipur,280,1,AC Seater,44,460.0,2025-11-30,Sunday,2025-11-06,24,False,1.1,0.966,33,75.0
108,Mumbai,Shirdi,Mumbai -> Shirdi,250,2,Volvo AC Semi-Sleeper,38,570.0,2026-02-01,Sunday,2026-01-04,28,False,1.1,1.112,25,65.79
109,Delhi,Dehradun,Delhi -> Dehradun,250,2,AC Seater,40,430.0,2026-03-31,Tuesday,2026-02-15,44,False,0.8,1.012,22,55.0
110,Kolkata,Digha,Kolkata -> Digha,185,3,AC Seater,44,310.0,2025-09-16,Tuesday,2025-08-21,26,False,0.8,0.986,17,38.64
111,Delhi,Chandigarh,Delhi -> Chandigarh,250,2,Volvo AC Semi-Sleeper,38,570.0,2026-03-28,Saturday,2026-03-01,27,False,1.25,1.112,24,63.16
112,Mumbai,Goa,Mumbai -> Goa,590,2,AC Seater,45,1040.0,2025-09-10,Wednesday,2025-08-24,17,False,0.82,1.037,20,44.44
113,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,Non-AC Sleeper,30,650.0,2026-03-17,Tuesday,2026-02-28,17,False,0.8,0.897,14,46.67
114,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,AC Sleeper,33,1090.0,2026-06-19,Friday,2026-05-22,28,False,1.15,0.948,32,96.97
115,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,Non-AC Sleeper,30,900.0,2025-11-09,Sunday,2025-10-03,37,False,1.1,1.089,24,80.0
116,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,Non-AC Sleeper,30,640.0,2025-08-15,Friday,2025-07-04,42,True,1.15,1.103,21,70.0
117,Delhi,Agra,Delhi -> Agra,230,2,AC Seater,44,350.0,2026-05-06,Wednesday,2026-04-01,35,False,0.82,0.895,22,50.0
118,Kochi,Bangalore,Kochi -> Bangalore,550,3,Non-AC Seater,53,600.0,2026-02-24,Tuesday,2026-02-08,16,False,0.8,1.039,22,41.51
119,Delhi,Agra,Delhi -> Agra,230,2,Volvo AC Semi-Sleeper,42,440.0,2025-08-10,Sunday,2025-07-13,28,False,1.1,0.933,31,73.81
120,Mumbai,Shirdi,Mumbai -> Shirdi,250,2,Volvo AC Semi-Sleeper,41,470.0,2025-08-05,Tuesday,2025-06-23,43,False,0.8,0.917,27,65.85
121,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,AC Sleeper,34,1140.0,2025-08-13,Wednesday,2025-07-25,19,True,0.82,0.87,21,61.76
122,Mumbai,Nashik,Mumbai -> Nashik,170,2,Volvo AC Semi-Sleeper,41,370.0,2026-06-17,Wednesday,2026-05-27,21,False,0.82,1.062,19,46.34
123,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,Volvo AC Semi-Sleeper,39,1250.0,2025-08-20,Wednesday,2025-07-07,44,False,0.82,1.07,17,43.59
124,Kolkata,Digha,Kolkata -> Digha,185,3,Non-AC Seater,54,210.0,2026-04-30,Thursday,2026-03-21,40,False,0.95,1.081,22,40.74
125,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,Non-AC Seater,52,470.0,2025-10-07,Tuesday,2025-09-01,36,False,0.8,0.895,37,71.15
126,Chennai,Madurai,Chennai -> Madurai,460,2,Non-AC Sleeper,35,680.0,2025-08-29,Friday,2025-07-19,41,True,1.15,1.019,32,91.43
127,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,Non-AC Seater,55,480.0,2026-04-02,Thursday,2026-03-19,14,False,0.95,0.914,28,50.91
128,Bangalore,Chennai,Bangalore -> Chennai,350,1,Non-AC Seater,54,420.0,2026-04-07,Tuesday,2026-03-05,33,False,0.8,1.143,34,62.96
129,Chennai,Madurai,Chennai -> Madurai,460,2,Non-AC Seater,48,420.0,2026-02-22,Sunday,2026-02-01,21,False,1.1,0.87,36,75.0
130,Surat,Mumbai,Surat -> Mumbai,285,2,Non-AC Sleeper,34,390.0,2025-12-02,Tuesday,2025-11-16,16,False,0.8,0.944,16,47.06
131,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,Non-AC Seater,51,420.0,2026-06-23,Tuesday,2026-05-23,31,False,0.8,1.0,17,33.33
132,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,AC Seater,43,690.0,2025-12-27,Saturday,2025-12-09,18,True,1.25,1.015,38,88.37
133,Bangalore,Chennai,Bangalore -> Chennai,350,1,Volvo AC Semi-Sleeper,40,730.0,2025-11-09,Sunday,2025-10-09,31,False,1.1,1.017,26,65.0
134,Delhi,Agra,Delhi -> Agra,230,2,AC Seater,43,430.0,2025-09-22,Monday,2025-09-04,18,False,0.85,1.1,23,53.49
135,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,Non-AC Sleeper,34,720.0,2025-12-13,Saturday,2025-11-25,18,False,1.25,0.993,24,70.59
136,Mumbai,Goa,Mumbai -> Goa,590,2,Volvo AC Semi-Sleeper,38,1140.0,2025-09-01,Monday,2025-08-09,23,False,0.85,0.943,19,50.0
137,Delhi,Jaipur,Delhi -> Jaipur,280,1,Non-AC Sleeper,35,420.0,2026-02-20,Friday,2026-01-06,45,False,1.15,1.034,27,77.14
138,Bangalore,Mysore,Bangalore -> Mysore,145,1,Non-AC Seater,51,140.0,2026-06-13,Saturday,2026-05-12,32,False,1.25,0.92,49,96.08
139,Delhi,Jaipur,Delhi -> Jaipur,280,1,AC Seater,45,470.0,2025-08-13,Wednesday,2025-07-15,29,True,0.82,0.987,45,100.0
140,Chennai,Coimbatore,Chennai -> Coimbatore,500,2,Non-AC Seater,50,540.0,2025-11-25,Tuesday,2025-10-24,32,False,0.8,1.029,20,40.0
141,Hyderabad,Bangalore,Hyderabad -> Bangalore,570,2,AC Sleeper,31,1360.0,2026-03-04,Wednesday,2026-01-30,33,True,0.82,1.037,24,77.42
142,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,AC Seater,44,980.0,2025-10-05,Sunday,2025-09-08,27,False,1.1,1.011,33,75.0
143,Hyderabad,Vijayawada,Hyderabad -> Vijayawada,275,2,AC Sleeper,31,630.0,2025-11-29,Saturday,2025-10-21,39,False,1.25,0.996,31,100.0
144,Delhi,Dehradun,Delhi -> Dehradun,250,2,Non-AC Sleeper,36,390.0,2026-05-11,Monday,2026-04-11,30,False,0.85,1.076,16,44.44
145,Delhi,Dehradun,Delhi -> Dehradun,250,2,Non-AC Sleeper,31,350.0,2026-04-24,Friday,2026-03-25,30,False,1.15,0.966,24,77.42
146,Ahmedabad,Mumbai,Ahmedabad -> Mumbai,525,2,AC Seater,42,810.0,2025-08-19,Tuesday,2025-08-03,16,False,0.8,0.908,22,52.38
147,Ahmedabad,Surat,Ahmedabad -> Surat,265,1,Volvo AC Semi-Sleeper,42,510.0,2025-08-19,Tuesday,2025-07-18,32,False,0.8,0.939,28,66.67
148,Bangalore,Coimbatore,Bangalore -> Coimbatore,365,2,Non-AC Sleeper,31,510.0,2025-08-23,Saturday,2025-07-17,37,False,1.25,0.964,31,100.0
149,Surat,Mumbai,Surat -> Mumbai,285,2,Non-AC Seater,51,330.0,2026-05-03,Sunday,2026-04-06,27,False,1.1,1.103,41,80.39
150,Bangalore,Goa,Bangalore -> Goa,560,3,AC Sleeper,29,1320.0,2026-03-11,Wednesday,2026-02-22,17,False,0.82,1.025,10,34.48
151,Chennai,Madurai,Chennai -> Madurai,460,2,AC Seater,43,870.0,2026-06-16,Tuesday,2026-05-19,28,False,0.8,1.113,19,44.19
152,Jaipur,Udaipur,Jaipur -> Udaipur,400,3,Non-AC Sleeper,32,600.0,2025-09-17,Wednesday,2025-08-12,36,False,0.82,1.034,17,53.12
153,Delhi,Dehradun,Delhi -> Dehradun,250,2,AC Seater,45,380.0,2026-03-02,Monday,2026-01-26,35,True,0.85,0.894,41,91.11
154,Pune,Kolhapur,Pune -> Kolhapur,230,2,AC Sleeper,31,480.0,2026-03-25,Wednesday,2026-03-06,19,False,0.82,0.907,12,38.71
155,Bangalore,Mysore,Bangalore -> Mysore,145,1,Volvo AC Semi-Sleeper,42,300.0,2026-06-26,Friday,2026-06-06,20,False,1.15,1.009,33,78.57
156,Ahmedabad,Mumbai,Ahmedabad -> Mumbai,525,2,Volvo AC Semi-Sleeper,42,980.0,2026-01-15,Thursday,2025-12-18,28,True,0.95,0.911,41,97.62
157,Ahmedabad,Surat,Ahmedabad -> Surat,265,1,AC Seater,41,480.0,2025-08-27,Wednesday,2025-08-12,15,True,0.82,1.065,35,85.37
158,Bangalore,Mysore,Bangalore -> Mysore,145,1,Non-AC Sleeper,33,200.0,2025-11-11,Tuesday,2025-10-23,19,False,0.8,0.951,25,75.76
159,Bangalore,Chennai,Bangalore -> Chennai,350,1,Volvo AC Semi-Sleeper,42,670.0,2025-08-15,Friday,2025-07-26,20,True,1.15,0.934,38,90.48
160,Bangalore,Hyderabad,Bangalore -> Hyderabad,570,2,Non-AC Seater,52,610.0,2026-03-29,Sunday,2026-02-28,29,False,1.1,1.019,39,75.0
161,Mumbai,Pune,Mumbai -> Pune,150,1,Non-AC Seater,50,170.0,2025-10-21,Tuesday,2025-09-10,41,True,0.8,1.079,40,80.0
162,Delhi,Jaipur,Delhi -> Jaipur,280,1,Non-AC Sleeper,34,420.0,2026-04-22,Wednesday,2026-03-15,38,False,0.82,1.034,18,52.94
163,Delhi,Jaipur,Delhi -> Jaipur,280,1,Non-AC Seater,54,300.0,2025-12-01,Monday,2025-10-20,42,False,0.85,1.02,34,62.96
164,Bangalore,Coimbatore,Bangalore -> Coimbatore,365,2,Volvo AC Semi-Sleeper,42,750.0,2026-01-24,Saturday,2025-12-17,38,True,1.25,1.002,42,100.0
165,Delhi,Agra,Delhi -> Agra,230,2,Volvo AC Semi-Sleeper,39,520.0,2026-01-16,Friday,2025-12-24,23,True,1.15,1.103,36,92.31
